Post;Up;Down;Total
1772;2;0;2
1773;1;0;1
1775;1;0;1
1777;5;0;5
1778;4;0;4
1779;6;0;6
1780;3;0;3
1782;1;0;1
1783;10;0;10
1784;1;0;1
1785;2;0;2
1787;1;0;1
1788;2;0;2
1789;3;0;3
1790;2;0;2
1792;4;0;4
1794;11;0;11
1795;1;0;1
1796;2;0;2
1798;1;0;1
1799;1;0;1
1800;1;0;1
1802;3;0;3
1803;1;0;1
1804;1;0;1
1806;3;0;3
1807;3;1;2
1809;2;0;2
1810;1;0;1
1811;2;0;2
1812;4;0;4
1813;2;1;1
1814;2;0;2
1815;1;0;1
1816;1;0;1
1819;4;0;4
1821;1;1;0
1822;5;0;5
1823;1;0;1
1824;3;0;3
1825;1;0;1
1826;1;0;1
1828;1;0;1
1829;0;1;-1
1831;3;0;3
1832;1;0;1
1834;2;0;2
1837;1;0;1
1838;1;0;1
1839;1;0;1
1841;1;0;1
1843;3;0;3
1844;8;0;8
1846;1;0;1
1847;0;2;-2
1848;1;0;1
1851;4;0;4
1852;26;0;26
1853;5;0;5
1855;3;0;3
1856;5;1;4
1857;34;1;33
1858;6;1;5
1859;1;0;1
1861;4;0;4
1862;3;0;3
1864;1;0;1
1865;2;0;2
1866;23;0;23
1867;15;0;15
1869;6;0;6
1870;1;0;1
1871;1;0;1
1872;2;0;2
1874;0;1;-1
1875;11;0;11
1876;7;0;7
1878;4;0;4
1879;2;0;2
1880;5;0;5
1881;1;0;1
1882;1;0;1
1883;14;0;14
1885;2;0;2
1886;28;0;28
1887;1;0;1
1890;3;0;3
1891;2;0;2
1892;1;0;1
1893;3;0;3
1894;4;0;4
1895;3;0;3
1896;52;1;51
1897;5;0;5
1898;1;0;1
1900;3;0;3
1901;1;0;1
1903;1;1;0
1905;1;0;1
1907;2;0;2
1909;5;0;5
1910;1;0;1
1911;3;0;3
1912;3;0;3
1914;1;0;1
1915;6;0;6
1916;1;0;1
1917;1;0;1
1918;5;0;5
1919;4;0;4
1920;4;2;2
1922;1;0;1
1923;1;0;1
1924;1;1;0
1926;1;0;1
1927;3;0;3
1928;1;0;1
1929;1;0;1
1930;1;0;1
1932;1;0;1
1933;2;0;2
1934;3;0;3
1935;3;0;3
1936;1;0;1
1937;1;0;1
1938;3;0;3
1940;2;0;2
1944;2;0;2
1946;2;0;2
1948;2;0;2
1949;1;0;1
1951;6;0;6
1952;1;0;1
1953;3;0;3
1954;21;0;21
1956;2;0;2
1960;4;0;4
1961;7;0;7
1962;1;0;1
1963;7;0;7
1966;1;0;1
1967;3;0;3
1968;2;0;2
1969;1;0;1
1970;2;0;2
1971;3;0;3
1972;1;0;1
1973;1;0;1
1974;0;1;-1
1975;2;0;2
1976;3;0;3
1978;1;0;1
1979;1;1;0
1981;1;0;1
1982;2;0;2
1983;1;0;1
1984;2;1;1
1985;1;0;1
1986;3;0;3
1987;6;0;6
1988;3;0;3
1989;1;1;0
1990;1;0;1
1992;1;1;0
1993;1;0;1
1997;3;0;3
1998;1;0;1
1999;2;0;2
2000;2;4;-2
2003;9;0;9
2005;8;0;8
2006;2;0;2
