Post;Score 
1731 ; 25
1733 ; 199
1734 ; 234
1735 ; 136
1736 ; 5685
1737 ; 1234
1738 ; 132
1739 ; 101
1740 ; 332
1743 ; 101
1744 ; 105
1745 ; 101
1746 ; 996
1747 ; 121
1748 ; 653
1749 ; 141
1750 ; 226
1751 ; 153
1752 ; 101
1753 ; 517
1755 ; 361
1756 ; 101
1757 ; 436
1758 ; 301
1759 ; 646
1760 ; 361
1761 ; 173
1763 ; 302
1765 ; 101
1766 ; 101
1767 ; 101
1769 ; 166
1770 ; 6000
1772 ; 187
1774 ; 566
1775 ; 203
1776 ; 143
1777 ; 271
1778 ; 215
1779 ; 106
1780 ; 286
1781 ; 232
1782 ; 21
1784 ; 483
1785 ; 123
1786 ; 454
1787 ; 4764
1789 ; 81
1790 ; 101
1791 ; 385
1792 ; 189
1794 ; 101
1795 ; 1246
1796 ; 101
1798 ; 222
1800 ; 190
1801 ; 360
1802 ; 311
1803 ; 6904
1804 ; 2283
1805 ; 169
1806 ; 1642
1807 ; 217
1808 ; 207
1809 ; 142
1810 ; 1549
1811 ; 101
1812 ; 1065
1813 ; 762
1814 ; 249
1815 ; 1476
1816 ; 366
1817 ; 101
1818 ; 404
1819 ; 361
1820 ; 1680
1821 ; 795
1822 ; 163
1823 ; 225
1824 ; 195
1825 ; 52
1826 ; 101
1828 ; 501
1829 ; 101
1830 ; 331
1831 ; 682
1832 ; 111
1833 ; 258
1834 ; 977
1835 ; 101
1836 ; 126
1837 ; 231
1838 ; 101
1839 ; 126
1840 ; 8694
1843 ; 612
1845 ; 493
1846 ; 101
1847 ; 958
1848 ; 1763
1850 ; 101
1851 ; 154
1852 ; 278
1853 ; 111
1854 ; 128
1855 ; 41
1856 ; 101
1857 ; 369
1858 ; 353
1859 ; 119
1860 ; 155
1861 ; 66
1862 ; 141
1865 ; 816
1866 ; 101
1867 ; 424
1868 ; 103
1869 ; 481
1870 ; 121
1871 ; 101
1872 ; 566
1873 ; 692
1876 ; 1385
1877 ; 736
1878 ; 431
1879 ; 56
1882 ; 325
1883 ; 391
1885 ; 154
1886 ; 159
1887 ; 101
1888 ; 336
1890 ; 101
1891 ; 321
1893 ; 808
1894 ; 108
1895 ; 693
1896 ; 551
1897 ; 379
1898 ; 295
1900 ; 1572
1901 ; 21
1902 ; 101
1903 ; 265
1904 ; 370
1906 ; 101
1907 ; 101
1908 ; 195
1909 ; 1138
1912 ; 118
1913 ; 153
1916 ; 8
1917 ; 466
1919 ; 367
1920 ; 484
1921 ; 106
1922 ; 158
1923 ; 186
1924 ; 126
1925 ; 141
1928 ; 633
1929 ; 116
1930 ; 633
1932 ; 137
1933 ; 1786
